,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
154,Log Lane Village,1631048400,40.2697,-103.8289,2,233.65,0.08,0.41,104.43,0.17,14.35,18.59,1.6,849,2021,9,7,21,0
155,Lone Tree,1631048400,39.5308,-104.8708,4,267.03,0.52,3.64,163.08,3.43,26.88,30.84,1.88,"13,082",2021,9,7,21,0
156,Longmont,1631048400,40.1686,-105.1006,4,260.35,0.12,0.92,148.77,1.21,27.06,30.66,1.92,"97,261",2021,9,7,21,0
157,Louisville,1631048400,39.9711,-105.1442,4,260.35,0.21,1.56,151.63,2.0,26.5,29.98,1.98,"20,816",2021,9,7,21,0
158,Loveland,1631048400,40.4167,-105.0622,3,253.68,0.11,0.8,131.61,1.07,24.4,27.89,1.87,"78,877",2021,9,7,21,0
159,Lyons,1631048400,40.2231,-105.2692,4,247.0,0.06,0.4,137.33,1.97,28.05,33.15,1.69,"2,189",2021,9,7,21,0
160,Manassa,1631048400,37.1739,-105.9372,2,181.91,0.06,0.33,117.3,0.4,7.18,7.85,0.63,"1,001",2021,9,7,21,0
161,Mancos,1631048400,37.3467,-108.2939,3,190.26,0.06,0.39,133.04,0.11,11.53,12.35,0.83,"1,430",2021,9,7,21,0
162,Manitou Springs,1631048400,38.8575,-104.9128,4,247.0,0.1,0.74,164.51,2.0,32.09,39.84,1.25,"5,390",2021,9,7,21,0
163,Manzanola,1631048400,38.1089,-103.8667,3,243.66,0.07,0.43,130.18,0.56,20.24,26.78,2.01,417,2021,9,7,21,0
164,Marble,1631048400,39.0717,-107.1908,2,198.6,0.07,0.41,114.44,0.17,17.54,19.63,0.96,134,2021,9,7,21,0
165,Mead,1631048400,40.2317,-104.9911,3,240.33,0.18,1.08,123.02,0.41,20.62,23.61,1.85,"4,731",2021,9,7,21,0
166,Meeker,1631048400,40.05,-107.8947,4,223.64,0.06,0.39,150.2,0.47,25.12,28.65,1.38,"2,252",2021,9,7,21,0
