Place Name,lat,lon,Population,Area
Cheraw,38.1075,-103.5111111,249,0.474
Cherry Hills Village,39.6375,-104.9480556,"6,647",16.255
Cheyenne Wells,38.81916667,-102.3519444,828,2.77
Coal Creek,38.36222222,-105.1422222,350,3.092
Cokedale,37.14416667,-104.6216667,120,0.531
Collbran,39.24,-107.9636111,698,1.446
Colorado Springs,38.8675,-104.7605556,"478,221",507.019
Columbine Valley[m],39.59944444,-105.0352778,"1,499",2.573
Commerce City,39.86416667,-104.8430556,"60,336",94.273
Cortez,37.35027778,-108.5766667,"8,736",16.249
Craig,40.51694444,-107.5552778,"9,022",13.138
Crawford,38.705,-107.6097222,433,0.651
Creede,37.84861111,-106.9252778,313,2.46
Crested Butte,38.8675,-106.9772222,"1,723",2.166
Crestone,37.99444444,-105.6961111,140,0.996
Cripple Creek,38.74666667,-105.185,"1,258",3.941
Crook,40.85888889,-102.8013889,109,0.349
Crowley,38.19361111,-103.8597222,175,0.584
Dacono,40.06222222,-104.9477778,"6,034",22.782
De Beque,39.31027778,-108.205,518,7.196
Deer Trail,39.615,-104.0433333,800,3.055
Del Norte,37.67833333,-106.3538889,"1,568",2.547
Delta,38.75611111,-108.0772222,"8,995",35.043
Denver[p][q],39.76194444,-104.8761111,"727,211",400.739
Dillon,39.62138889,-106.0394444,967,6.018
Dinosaur,40.23972222,-109.0066667,332,2.408
Dolores,37.47416667,-108.5,955,1.721
Dove Creek,37.76694444,-108.9072222,634,1.483
Durango,37.26583333,-107.8783333,"18,973",44.296
Eads,38.48138889,-102.7797222,602,1.237
Eagle,39.63666667,-106.8125,"6,986",14.663
Eaton,40.52555556,-104.7130556,"5,738",8.185
Eckley,40.11222222,-102.4883333,258,1.225
Edgewater,39.75083333,-105.0625,"5,335",1.799
Elizabeth,39.35888889,-104.6194444,"1,566",5.178
Empire,39.75944444,-105.6822222,304,0.701
Englewood,39.64666667,-104.9941667,"34,917",17.229
Erie,40.04027778,-105.04,"27,003",51.379
Estes Park,40.37,-105.5216667,"6,426",17.862
Evans,40.36611111,-104.7388889,"21,205",27.263
Fairplay,39.22444444,-105.9966667,787,2.995
Federal Heights,39.865,-105.0155556,"12,827",4.604
Firestone,40.15638889,-104.9494444,"16,177",36.849
Flagler,39.29472222,-103.0758333,549,3.547
Fleming,40.68194444,-102.8397222,404,1.267
Florence,38.38361111,-105.1113889,"3,944",11.091
Fort Collins,40.5475,-105.0655556,"170,243",151.444
Fort Lupton,40.08277778,-104.8069444,"8,317",31.596
Fort Morgan,40.25361111,-103.7902778,"11,463",13.993
Fountain,38.68833333,-104.6827778,"30,735",58.341
Fowler,38.13055556,-104.0263889,"1,141",1.458
Foxfield,39.58805556,-104.7858333,782,3.427
Fraser,39.93027778,-105.8030556,"1,326",8.966
Frederick,40.10888889,-104.97,"13,960",39.423
Frisco,39.57916667,-106.0916667,"3,174",4.609
Fruita,39.15472222,-108.7305556,"13,478",21.193
Garden City,40.39472222,-104.6894444,267,0.292
Genoa,39.27833333,-103.4986111,148,0.804
Georgetown,39.71805556,-105.6941667,"1,112",2.845
Gilcrest,40.28416667,-104.7819444,"1,106",2.1
Glendale,39.70361111,-104.9352778,"5,141",1.478
Glenwood Springs,39.54555556,-107.3347222,"9,930",15.136
Golden,39.74055556,-105.2119444,"20,767",25.193
Granada,38.06305556,-102.3116667,503,1.775
Granby,40.06472222,-105.9194444,"2,139",32.845
Grand Junction,39.08777778,-108.5675,"63,597",103.799
Grand Lake,40.25027778,-105.8230556,506,2.679
Greeley,40.415,-104.7705556,"108,649",127.148
Green Mountain Falls,38.93444444,-105.0238889,722,2.851
Greenwood Village,39.61527778,-104.9130556,"15,735",21.444
Grover,40.86916667,-104.2258333,153,1.542
Gunnison,38.54805556,-106.9247222,"6,640",12.558
Gypsum,39.62861111,-106.935,"7,375",23.222
Hartman,38.12111111,-102.2216667,75,0.711
Haswell,38.4525,-103.165,68,2.079
Haxtun,40.64194444,-102.6297222,904,1.542
Hayden,40.485,-107.2391667,"1,979",8.49
Hillrose,40.32444444,-103.5222222,260,0.488
Holly,38.05527778,-102.1247222,774,1.8763
Holyoke,40.58194444,-102.2975,"2,208",6.414
Hooper,37.74611111,-105.8777778,100,0.653
Hot Sulphur Springs,40.075,-106.1030556,733,1.992
Hotchkiss,38.79888889,-107.7133333,928,2.399
Hudson,40.09,-104.6208333,"2,767",15.475
Hugo,39.13611111,-103.4730556,777,2.362
Idaho Springs,39.74444444,-105.5,"1,786",5.924
Ignacio[v],37.11805556,-107.6375,908,1.325
Iliff,40.75916667,-103.0661111,268,0.495
Jamestown,40.11833333,-105.3916667,249,1.4898
Johnstown,40.34972222,-104.9483333,"15,198",35.945
Julesburg,40.985,-102.2627778,"1,152",3.916
Keenesburg,40.13277778,-104.5380556,"1,237",19.596
Kersey,40.39083333,-104.5794444,"1,681",5.248
Kim,37.24694444,-103.3533333,70,0.981
Kiowa,39.34361111,-104.4577778,761,2.231
Kit Carson,38.76277778,-102.7952778,231,1.513
Kremmling,40.05666667,-106.3783333,"1,524",3.389
La Jara,37.27361111,-105.9597222,817,1.056
La Junta,37.97916667,-103.5472222,"6,881",8.265
La Veta,37.50861111,-105.0086111,811,3.539
Lafayette,39.99472222,-105.0997222,"30,687",24.409
Lake City,38.03,-107.3105556,394,2.169
Lakeside[w],39.78027778,-105.0577778,8,0.643
Lakewood,39.69777778,-105.1172222,"157,935",115.635
Lamar,38.07388889,-102.6152778,"7,655",13.551
Larkspur,39.23194444,-104.8922222,212,4.12
Las Animas,38.06944444,-103.2236111,"2,165",4.331
LaSalle,40.34833333,-104.7061111,"2,342",2.48
Leadville,39.24722222,-106.2933333,"2,868",3.039
Limon,39.26527778,-103.6855556,"1,952",8.268
Littleton,39.59138889,-105.0188889,"48,065",35.642
Lochbuie,40.01166667,-104.7272222,"7,304",9.602
Log Lane Village,40.26972222,-103.8288889,849,0.508
Lone Tree,39.53083333,-104.8708333,"13,082",25.403
Longmont,40.16861111,-105.1005556,"97,261",78.791
Louisville,39.97111111,-105.1441667,"20,816",20.914
Loveland,40.41666667,-105.0622222,"78,877",92.974
Lyons,40.22305556,-105.2691667,"2,189",3.534
Manassa,37.17388889,-105.9372222,"1,001",2.412
Mancos,37.34666667,-108.2938889,"1,430",1.662
Manitou Springs,38.8575,-104.9127778,"5,390",8.157
Manzanola,38.10888889,-103.8666667,417,0.736
Marble,39.07166667,-107.1908333,134,0.932
Mead,40.23166667,-104.9911111,"4,731",33.901
Meeker,40.05,-107.8947222,"2,252",9.295
Merino,40.48361111,-103.3536111,281,0.393
Milliken,40.31138889,-104.8561111,"8,164",33.411
Minturn,39.54611111,-106.3869444,"1,145",21.231
Moffat,38.00277778,-105.9063889,119,4.314
Monte Vista,37.57888889,-106.15,"4,138",6.866
Montezuma,39.58138889,-105.8677778,74,0.205
Montrose,38.46888889,-107.8588889,"19,782",47.854
Monument,39.07361111,-104.8466667,"8,097",17.853
Morrison,39.63694444,-105.2005556,424,4.269
Mount Crested Butte[y],38.90833333,-106.9605556,876,5.355
Mountain View[z],39.77472222,-105.0566667,537,0.241
Mountain Village,37.9325,-107.8577778,"1,426",8.547
Naturita,38.21833333,-108.5666667,532,1.594
Nederland,39.96333333,-105.5072222,"1,533",4.013
New Castle,39.5775,-107.5266667,"5,203",6.754
Northglenn,39.91083333,-104.9783333,"38,819",19.277
Norwood,38.12916667,-108.2919444,579,0.733
Nucla,38.26666667,-108.5486111,714,1.797
Nunn,40.71388889,-104.7888889,464,10.267
Oak Creek,40.27416667,-106.9575,959,0.922
Olathe,38.60833333,-107.9833333,"1,837",3.89
Olney Springs,38.16638889,-103.9444444,340,0.623
Ophir,37.85694444,-107.8311111,184,0.609
Orchard City,38.81444444,-107.9705556,"3,212",29.862
Ordway,38.22083333,-103.7566667,"1,054",1.998
Otis,40.15,-102.9622222,486,1.07
Ouray,38.0275,-107.6733333,"1,034",2.234
Ovid,40.96083333,-102.3883333,300,0.403
Pagosa Springs,37.2675,-107.0305556,"2,085",13.103
Palisade,39.10833333,-108.3572222,"2,736",3.092
Palmer Lake,39.11527778,-104.9061111,"2,993",7.952
Paoli,40.61277778,-102.4716667,34,0.766
Paonia,38.86972222,-107.5919444,"1,469",2.127
Parachute,39.45083333,-108.0530556,"1,116",4.848
Parker,39.50833333,-104.7752778,"57,706",57.869
Peetz,40.96194444,-103.1138889,235,0.578
Pierce,40.64111111,-104.7702778,"1,133",4.812
Pitkin,38.60861111,-106.515,69,0.668
Platteville,40.22194444,-104.8341667,"2,760",7.987
Poncha Springs,38.51416667,-106.0941667,956,7.729
Pritchett,37.37,-102.8586111,131,0.604
Pueblo,38.27,-104.6113889,"112,361",145.254
Ramah,39.12222222,-104.1672222,130,0.637
Rangely,40.08611111,-108.7794444,"2,263",11.148
Raymer[ab],40.60805556,-103.8436111,112,2.031
Red Cliff,39.50916667,-106.37,282,0.632
Rico,37.68916667,-108.0316667,231,1.757
Ridgway,38.15722222,-107.7547222,"1,039",4.787
Rifle,39.53611111,-107.7727778,"9,706",18.533
Rockvale,38.36444444,-105.1647222,519,5.283
Rocky Ford,38.05,-103.7225,"3,815",4.383
Romeo,37.17194444,-105.9852778,411,0.604
Rye,37.92138889,-104.9319444,165,0.244
Saguache[ac],38.08638889,-106.1411111,505,1.021
Salida,38.53,-105.9977778,"6,082",7.23
San Luis[ad],37.2025,-105.4225,658,1.468
Sanford,37.2575,-105.9008333,887,3.782
Sawpit[ae],37.99472222,-108.0022222,39,0.078
Sedgwick,40.93555556,-102.5255556,137,1.008
Seibert,39.29805556,-102.8694444,213,0.888
Severance,40.52666667,-104.865,"6,494",23.871
Sheridan,39.64666667,-105.0183333,"6,183",5.929
Sheridan Lake,38.46666667,-102.2944444,83,0.804
Silt,39.54833333,-107.6533333,"3,190",4.47
Silver Cliff,38.12027778,-105.4102778,667,40.039
Silver Plume,39.69555556,-105.7263889,177,0.677
Silverthorne,39.65611111,-106.0869444,"4,898",10.533
Silverton,37.81083333,-107.6647222,663,2.162
Simla,39.14083333,-104.0825,640,1.596
Snowmass Village,39.22111111,-106.9391667,"2,732",72.167
South Fork,37.66916667,-106.6416667,425,6.4724
Springfield,37.405,-102.6188889,"1,375",2.917
Starkville,37.11694444,-104.5233333,54,0.189
Steamboat Springs,40.47777778,-106.8241667,"13,214",25.642
Sterling,40.62055556,-103.1925,"14,495",19.641
Stratton,39.30277778,-102.6033333,639,1.331
Sugar City,38.23277778,-103.6633333,253,0.997
Superior,39.93388889,-105.1588889,"13,087",10.286
Swink,38.01416667,-103.6280556,592,0.725
Telluride,37.93638889,-107.8269444,"2,479",5.755
Thornton,39.91972222,-104.9438889,"141,464",98.282
Timnath,40.53388889,-104.9622222,"4,998",17.069
Trinidad,37.175,-104.4908333,"8,200",24.307
Two Buttes,37.56055556,-102.3966667,40,0.642
Vail,39.63861111,-106.3611111,"5,434",12.228
Victor,38.70861111,-105.1419444,426,0.744
Vilas,37.37361111,-102.4475,107,0.331
Vona,39.30222222,-102.7433333,104,0.573
Walden,40.73166667,-106.2813889,599,0.868
Walsenburg,37.63055556,-104.7816667,"3,029",7.743
Walsh,37.38611111,-102.28,516,1.158
Ward,40.07222222,-105.5138889,161,1.3905
Wellington,40.7,-105.0052778,"10,437",9.408
Westcliffe,38.13388889,-105.4652778,628,3.202
Westminster,39.88361111,-105.0625,"113,166",87.796
Wheat Ridge,39.77277778,-105.1027778,"31,324",24.824
Wiggins,40.22861111,-104.0725,"1,163",3.437
Wiley,38.15527778,-102.7191667,393,0.806
Williamsburg,38.38388889,-105.1711111,713,9.148
Windsor,40.46888889,-104.92,"30,477",69.443
Winter Park,39.87861111,-105.7827778,"1,090",43.743
Woodland Park,38.99861111,-105.0594444,"7,885",17.1248
Wray,40.08,-102.2283333,"2,349",9.018
Yampa,40.15305556,-106.9086111,464,0.622
Yuma,40.12361111,-102.7161111,"3,479",8.314
